Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
192,Navy,30,1,29,0.033,-26.12,-9.35,1,17,1,14,0,15,1585,2088,1200,622,1727,0.36,163,573,0.284,178,293,0.608,319,1093,323,129,79,527,568,2022-2023
193,NC State,32,20,12,0.625,24.93,16.68,9,9,12,3,5,7,2266,2002,1286,858,1969,0.436,178,565,0.315,372,519,0.717,341,1270,430,218,140,425,439,2022-2023
194,Nebraska,33,18,15,0.545,20.65,14.68,8,10,12,5,4,9,2351,2154,1345,836,2027,0.412,271,830,0.327,408,575,0.71,397,1337,523,244,116,502,549,2022-2023
195,Nevada,31,10,21,0.323,-4.23,1.37,6,12,6,9,2,10,2005,2123,1250,716,1798,0.398,158,504,0.313,415,571,0.727,361,1105,337,251,76,473,542,2022-2023
196,Nevada-Las Vegas,34,31,3,0.912,15.18,0.88,18,0,20,0,11,2,2605,2130,1365,958,2080,0.461,223,664,0.336,466,611,0.763,396,1339,526,222,82,429,501,2022-2023
197,New Hampshire,28,7,21,0.25,-21.19,-9.48,2,14,3,10,4,11,1500,1757,1125,528,1521,0.347,131,470,0.279,313,433,0.723,295,979,251,182,71,447,409,2022-2023
198,New Mexico,34,21,13,0.618,6.3,0.91,12,6,14,3,6,8,2514,2300,1370,913,2080,0.439,290,849,0.342,398,518,0.768,311,1240,506,278,128,481,452,2022-2023
199,New Mexico State,35,18,17,0.514,-1.13,-0.95,10,8,8,5,7,8,2173,2090,1415,842,2077,0.405,126,483,0.261,363,540,0.672,417,1193,412,313,68,487,697,2022-2023
200,New Orleans,28,8,20,0.286,-17.31,-11.56,7,11,6,5,2,15,1721,1882,1140,615,1670,0.368,142,503,0.282,349,502,0.695,406,1045,346,258,83,556,564,2022-2023
201,Niagara,31,18,13,0.581,-9.83,-10.38,16,4,8,4,9,7,2039,2022,1256,751,2095,0.358,136,540,0.252,401,593,0.676,526,1103,363,472,84,574,671,2022-2023
202,Nicholls State,29,5,24,0.172,-25.64,-11,2,16,3,11,1,13,1685,2086,1165,616,1631,0.378,149,479,0.311,304,447,0.68,277,999,352,197,56,504,449,2022-2023
203,NJIT,29,13,16,0.448,-16.53,-13.22,8,8,6,7,7,9,1755,1851,1175,649,1601,0.405,148,483,0.306,309,466,0.663,324,1021,315,172,101,479,468,2022-2023
204,Norfolk State,33,26,7,0.788,-3.73,-11.7,11,3,12,1,8,6,2034,1673,1325,744,1923,0.387,135,533,0.253,411,622,0.661,465,1306,367,399,119,575,588,2022-2023
205,North Alabama,30,15,15,0.5,-5.13,-3.76,10,8,10,5,5,10,1989,1940,1205,723,1810,0.399,278,840,0.331,265,362,0.732,280,1039,439,198,151,419,534,2022-2023
206,North Carolina,33,22,11,0.667,24.41,15.29,11,7,13,2,5,7,2275,1974,1325,845,2029,0.416,202,641,0.315,383,564,0.679,379,1238,416,312,125,480,583,2022-2023
207,North Carolina A&T,30,18,12,0.6,-7.31,-6.13,12,6,9,4,8,7,2043,1881,1215,761,1762,0.432,141,480,0.294,380,541,0.702,418,1156,439,278,96,590,490,2022-2023
208,North Carolina Central,31,15,16,0.484,-17.39,-11.03,8,6,9,5,5,10,2069,2124,1245,748,1902,0.393,157,525,0.299,416,647,0.643,403,1192,402,300,110,621,649,2022-2023
209,North Dakota,32,19,13,0.594,-3.41,-5.54,11,7,13,1,4,9,2410,2278,1285,869,2073,0.419,190,603,0.315,482,631,0.764,395,1254,422,304,67,479,615,2022-2023
210,North Dakota State,30,18,12,0.6,-3.3,-3.37,12,6,11,1,6,10,2144,2091,1205,777,1838,0.423,191,599,0.319,399,580,0.688,380,1123,422,231,109,474,603,2022-2023
211,North Florida,27,7,20,0.259,-19.9,-3.34,4,13,5,7,2,11,1611,1922,1080,604,1593,0.379,183,597,0.307,220,363,0.606,303,1001,314,204,75,509,463,2022-2023
212,North Texas,31,11,20,0.355,-3.07,2.43,8,12,8,6,3,13,1941,2093,1245,731,1737,0.421,145,490,0.296,334,506,0.66,339,1035,375,258,101,502,557,2022-2023
213,Northeastern,31,19,12,0.613,-1.59,-5.1,13,5,8,4,10,5,2044,1935,1245,786,1776,0.443,165,519,0.318,307,438,0.701,360,1172,408,276,95,591,541,2022-2023
214,Northern Arizona,35,21,14,0.6,2.62,1.12,13,5,9,3,10,7,2615,2497,1435,952,2332,0.408,279,872,0.32,432,602,0.718,456,1427,512,273,92,526,666,2022-2023
215,Northern Colorado,31,13,18,0.419,-6.88,-2.77,5,13,7,7,5,10,1883,1955,1260,634,1597,0.397,191,585,0.326,424,536,0.791,285,1050,362,223,80,503,444,2022-2023
216,Northern Illinois,33,16,17,0.485,-3.98,-3.16,8,10,9,4,6,9,2333,2360,1340,840,2037,0.412,267,790,0.338,386,514,0.751,413,1258,434,233,38,455,498,2022-2023
217,Northern Iowa,33,23,10,0.697,13.44,4.32,16,4,12,4,8,5,2461,2160,1321,881,1992,0.442,281,800,0.351,418,606,0.69,323,1211,445,235,118,407,558,2022-2023
218,Northern Kentucky,31,17,14,0.548,-0.05,-3.73,10,10,12,4,5,9,2115,2001,1270,740,1814,0.408,157,565,0.278,478,675,0.708,328,1176,411,194,95,386,489,2022-2023
219,Northwestern,30,9,21,0.3,5.85,13.21,2,16,7,10,2,10,1911,2132,1200,694,1813,0.383,143,535,0.267,380,547,0.695,341,1095,456,282,141,525,566,2022-2023
