Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
305,Towson,33,20,13,0.606,-0.06,-1.57,11,7,12,3,7,6,2358,2227,1330,805,1888,0.426,182,574,0.317,566,840,0.674,472,1295,371,203,155,401,677,2015-2016
306,Troy,31,9,22,0.29,-9.21,-2.07,4,16,4,10,4,10,2145,2329,1250,740,1817,0.407,208,675,0.308,457,713,0.641,349,1132,349,185,88,376,582,2015-2016
307,Tulane,34,12,22,0.353,-0.85,3.79,3,15,6,10,2,10,2240,2398,1390,802,2021,0.397,216,719,0.3,420,621,0.676,415,1268,372,218,131,451,649,2015-2016
308,Tulsa,32,20,12,0.625,9.79,5.76,12,6,12,3,6,5,2356,2227,1290,821,1849,0.444,219,671,0.326,495,731,0.677,323,1123,435,216,88,346,563,2015-2016
309,UAB,33,26,7,0.788,3.5,-3.07,16,2,16,0,10,4,2606,2323,1340,942,1970,0.478,250,671,0.373,472,654,0.722,366,1259,607,213,201,414,579,2015-2016
310,UC Davis,30,11,19,0.367,-5.58,-1.26,6,10,8,7,3,11,1914,1980,1225,697,1608,0.433,164,463,0.354,356,557,0.639,256,1033,342,186,49,427,531,2015-2016
311,UC Irvine,38,28,10,0.737,5.33,0.77,13,3,11,2,13,5,2706,2512,1535,977,2128,0.459,241,652,0.37,511,752,0.68,370,1416,568,217,198,471,706,2015-2016
312,UC Riverside,33,14,19,0.424,-5.66,-3.08,5,11,7,9,7,9,2299,2300,1320,788,1839,0.428,252,716,0.352,471,670,0.703,328,1164,410,170,101,433,654,2015-2016
313,UC Santa Barbara,33,19,14,0.576,3.79,1.44,11,5,6,5,10,6,2335,2219,1325,859,1944,0.442,251,697,0.36,366,522,0.701,345,1235,496,195,98,419,647,2015-2016
314,UCLA,32,15,17,0.469,10.48,9.69,6,12,11,6,3,7,2480,2455,1295,915,2016,0.454,200,551,0.363,450,651,0.691,393,1266,502,175,110,392,595,2015-2016
315,UNC Asheville,34,22,12,0.647,1.1,-3.25,12,6,11,3,6,7,2552,2313,1370,898,1973,0.455,195,603,0.323,561,808,0.694,396,1278,422,312,112,444,587,2015-2016
316,UNC Greensboro,34,15,19,0.441,-6.01,-3.23,10,8,12,4,3,14,2469,2494,1370,890,1997,0.446,296,815,0.363,393,579,0.679,322,1167,440,208,86,407,675,2015-2016
317,UNC Wilmington,33,25,8,0.758,6.25,0.35,14,4,12,2,8,5,2620,2379,1335,928,2039,0.455,230,677,0.34,534,760,0.703,397,1237,438,246,143,374,793,2015-2016
318,UT Arlington,35,24,11,0.686,5.02,-3.42,13,7,13,2,10,8,2762,2417,1415,956,2249,0.425,307,942,0.326,543,780,0.696,520,1530,590,261,99,482,730,2015-2016
319,Utah,36,27,9,0.75,15.5,8.79,13,5,16,1,5,5,2778,2502,1460,977,2000,0.489,273,746,0.366,551,764,0.721,347,1335,557,199,149,451,549,2015-2016
