school_name,conference_name,fouls,goals,assists,points,shots,shots_on_goal,ground_balls,turnovers,caused_turnovers,free_position_shots,free_position_goals,red_cards,yellow_cards,green_cards,draw_controls,team_id,season,ncaa_division,ncaa_division_formatted,sport_id,overall_wins,overall_losses,conference_wins,conference_losses,home_wins,home_losses,road_wins,road_losses,neutral_wins,neutral_losses,goalie_minutes_played,goals_allowed,saves,school_id,games_played
Presbyterian,Big South,205,165,53,218,414,297,235,266,129,119,48,,20,25,177,594034,2025,1,I,WLA,5,12,2,6,3,7,2,5,0,0,1019:51:00,249,147,1320,17
High Point,Big South,239,307,128,435,628,480,306,243,153,121,67,,39,40,288,594035,2025,1,I,WLA,12,6,7,1,7,1,5,5,0,0,1069:50:00,221,168,19651,18
East Carolina,The American,226,194,92,286,437,319,261,234,125,82,38,,14,38,203,594038,2025,1,I,WLA,7,10,4,2,3,4,4,4,0,2,1032:29:00,236,169,196,17
UAlbany,America East,330,232,96,328,541,382,275,283,151,70,44,,45,33,274,594039,2025,1,I,WLA,9,10,4,2,5,4,4,6,0,0,1140:00:00,242,114,14,19
Merrimack,MAAC,168,132,60,192,346,260,251,272,128,64,29,,35,31,192,594041,2025,1,I,WLA,1,14,0,8,0,7,1,7,0,0,899:10:00,211,130,410,15
Akron,MAC,259,222,112,334,529,401,333,260,141,70,27,,33,37,247,594043,2025,1,I,WLA,11,8,4,2,7,1,2,6,2,1,1144:10:00,208,156,5,19
Pittsburgh,ACC,376,189,79,268,429,304,300,318,174,108,50,,32,34,226,594045,2025,1,I,WLA,8,8,2,7,5,3,3,5,0,0,964:07:00,183,140,545,16
Stonehill,NEC,201,230,86,316,503,381,315,261,130,115,57,,45,47,240,594047,2025,1,I,WLA,11,7,8,1,7,3,4,3,0,1,1080:00:00,191,149,682,18
Queens (NC),ASUN,305,216,106,322,461,351,325,265,208,74,36,,47,63,166,594049,2025,1,I,WLA,6,11,3,3,4,5,2,6,0,0,1020:00:00,242,146,11504,17
Lindenwood,ASUN,194,221,81,302,472,366,238,276,110,78,33,,32,20,292,594050,2025,1,I,WLA,10,6,3,3,4,2,6,4,0,0,960:55:00,228,179,30136,16
FDU,NEC,214,149,55,204,359,266,255,271,123,79,38,,40,45,169,594052,2025,1,I,WLA,5,11,4,5,3,4,2,7,0,0,960:00:00,189,151,222,16
Clemson,ACC,399,293,136,429,664,494,402,309,246,112,50,,46,23,292,594054,2025,1,I,WLA,14,7,6,3,7,3,5,3,2,1,1259:38:00,198,166,147,21
Xavier,Big East,308,129,43,172,371,271,267,309,121,72,39,,34,61,210,594055,2025,1,I,WLA,2,13,1,5,1,5,1,7,0,1,900:32:00,249,151,812,15
Le Moyne,NEC,281,146,75,221,371,270,255,267,101,64,26,,35,39,160,594057,2025,1,I,WLA,4,13,3,6,3,6,1,7,0,0,1020:00:00,204,158,349,17
Rider,MAAC,241,218,78,296,515,377,275,293,127,131,61,,27,63,302,594059,2025,1,I,WLA,8,10,3,6,5,2,2,8,1,0,1082:06:00,233,151,576,18
Binghamton,America East,208,161,66,227,380,274,209,229,108,119,55,,20,23,179,594061,2025,1,I,WLA,5,10,2,4,1,5,4,5,0,0,890:13:00,199,136,62,15
Boston College,ACC,275,375,207,582,775,553,290,246,178,130,65,1,24,30,338,594062,2025,1,I,WLA,19,3,8,1,9,0,8,1,2,2,1319:58:00,170,212,67,22
Coastal Carolina,ASUN,212,240,88,328,523,387,233,235,130,114,56,1,35,37,273,594064,2025,1,I,WLA,8,10,3,3,3,6,4,4,1,0,1069:11:00,245,170,149,18
Denver,Big East,422,288,133,421,612,457,350,315,225,127,73,1,42,36,290,594065,2025,1,I,WLA,14,6,5,1,6,1,6,5,2,0,1205:33:00,190,169,183,20
Florida,Big 12,302,368,180,548,749,584,362,238,188,128,63,,30,39,329,594067,2025,1,I,WLA,20,3,5,0,11,1,8,0,1,2,1388:50:00,217,188,235,23
LIU,NEC,151,199,106,305,507,368,294,241,127,66,30,,33,42,228,594070,2025,1,I,WLA,12,7,8,1,6,2,5,5,1,0,1148:56:00,176,154,361,19
Loyola Maryland,Patriot,255,305,154,459,646,477,283,311,126,75,36,,19,17,405,594072,2025,1,I,WLA,13,7,9,0,8,3,5,3,0,1,1209:43:00,212,176,369,20
Mercer,Big South,235,288,102,390,664,510,358,268,170,114,54,,35,50,292,594074,2025,1,I,WLA,12,8,7,1,6,5,5,3,1,0,1204:39:00,224,146,406,20
Niagara,MAAC,278,169,64,233,440,336,271,296,167,85,30,,29,44,185,594075,2025,1,I,WLA,7,11,5,3,4,2,3,8,0,1,1085:20:00,249,167,482,18
Northwestern,Big Ten,455,342,158,500,754,570,391,344,228,167,79,,41,42,381,594077,2025,1,I,WLA,19,3,8,0,11,2,6,0,2,1,1320:00:00,190,186,509,22
Richmond,Atlantic 10,259,248,133,381,562,413,294,265,134,100,43,,34,47,261,594079,2025,1,I,WLA,11,8,7,3,7,4,3,4,1,0,1139:57:00,204,177,575,19
Robert Morris,MAC,205,192,98,290,451,350,332,335,150,83,38,,23,49,231,594080,2025,1,I,WLA,8,11,4,2,4,5,3,5,1,1,1159:46:00,226,176,579,19
Stanford,ACC,291,283,124,407,623,449,386,323,213,134,65,,30,39,286,594082,2025,1,I,WLA,15,6,7,2,7,2,6,3,2,1,1272:33:00,193,167,674,21
Stony Brook,CAA,362,307,172,479,710,518,354,268,217,111,52,,54,43,296,594084,2025,1,I,WLA,16,5,8,0,7,1,8,4,1,0,1263:39:00,185,137,683,21
Yale,Ivy League,258,268,123,391,669,488,339,212,169,132,60,,18,33,299,594086,2025,1,I,WLA,16,4,5,2,9,1,6,3,1,0,1212:48:00,176,116,813,20
Mercyhurst,NEC,94,176,86,262,415,306,269,223,118,81,34,,27,40,199,594135,2025,1,I,WLA,6,9,6,3,3,3,3,6,0,0,888:12:00,214,161,408,15
Charlotte,The American,276,234,126,360,508,380,276,256,133,68,25,,40,35,241,600896,2025,1,I,WLA,6,10,1,5,5,5,1,5,0,0,951:28:00,215,133,458,16
Rhode Island,Atlantic 10,232,196,70,266,438,331,232,237,104,113,55,,31,35,227,601777,2025,1,I,WLA,8,8,4,6,4,4,4,4,0,0,960:00:00,205,175,572,16
South Fla.,The American,303,281,125,406,648,475,318,258,168,124,58,,17,30,281,601806,2025,1,I,WLA,13,5,4,2,9,2,3,3,1,0,1065:39:00,189,148,651,18
